,Date,Ngene_norm,Ngene,NgeneUCI,NgeneLCI,PMMoV,PMMoV UCI,PMMoV LCI,Ngene_norm_int,positives,Testing,City,pos_rate,positives_raw
35,2022-01-05,0.0004742694020356,309327.68841590214,324490.3051253823,294488.1660672783,652219365.382263,698808414.4342508,609188609.6636087,0.0004742694020356,166.0,3114.0,Davis,0.05330764290301863,166.0
36,2022-01-06,0.0002595600999957,317065.2635863946,359255.877659864,278986.1354666667,1221548549.22449,1288279124.027211,1168707482.9931974,0.0002595600999957,147.0,2691.0,Davis,0.054626532887402456,147.0
37,2022-01-07,0.000536942973597,300880.5031446541,316981.13207547175,283773.5849056604,560358395.4716983,579770453.8364781,542296864.4025158,0.000536942973597,123.0,2798.0,Davis,0.043959971408148675,123.0
38,2022-01-08,0.0004155688622754,362875.8169934641,386928.1045751635,340915.0326797386,873202614.3790852,900392156.8627453,844967320.2614381,0.0004155688622754,110.0,2609.0,Davis,0.04216174779609046,110.0
39,2022-01-09,0.0007201388614182,502534.346147017,515764.75663618615,489306.3631924716,697829784.0465213,713814012.9320546,681613482.8509697,0.0007201388614182,85.0,1370.0,Davis,0.06204379562043796,85.0
40,2022-01-10,0.00030724987985,271977.7636293223,280844.76622959896,262747.37810235133,885200553.2503458,916182572.614108,863070539.4190872,0.00030724987985,74.0,1919.0,Davis,0.0385617509119333,74.0
41,2022-01-11,0.0005051959332911,357121.4839314888,380618.2499499341,332781.1622028986,706896988.6693016,755297240.3689065,664817052.3320159,0.0005051959332911,66.0,1510.0,Davis,0.04370860927152318,66.0
42,2022-01-12,0.000253488372093,511062.2710622712,527472.5274725276,494652.0146520147,2016117216.1172163,2133333333.3333335,1910622710.622711,0.000253488372093,181.0,3471.0,Davis,0.052146355517142036,181.0
43,2022-01-13,0.0002175818265698,258042.3644040404,269717.3417373738,243920.04686868688,1185955502.222222,1217130533.7373738,1141715494.9494948,0.0002175818265698,89.0,2867.0,Davis,0.031042901988140914,89.0
44,2022-01-14,0.0003487618188551,302991.7671724138,318590.4589323116,286755.343816092,868764155.9131545,894438332.9757342,844911398.4163473,0.0003487618188551,81.0,2629.0,Davis,0.03081019399011031,81.0
45,2022-01-15,0.0005200017935135,360331.62287922704,385406.0518647343,335458.9371980676,692943038.6086956,732334892.5217392,653772621.3719807,0.0005200017935135,54.0,1987.0,Davis,0.027176648213387014,54.0
46,2022-01-16,0.000272983241282,250502.26847058823,267060.85952941177,233725.49019607843,917647058.8235296,996078431.372549,847058823.5294118,0.000272983241282,41.0,998.0,Davis,0.041082164328657314,41.0
47,2022-01-17,0.0001793103448275,149909.90990990994,166486.4864864865,132612.61261261263,836036036.0360361,900900900.900901,785585585.5855857,0.0001793103448275,30.0,997.0,Davis,0.03009027081243731,30.0
48,2022-01-18,0.0004349758359856,368979.59183673473,384761.9047619049,353197.2789115647,848276068.027211,870385493.3333333,829452826.1224489,0.0004349758359856,81.0,1581.0,Davis,0.051233396584440226,81.0
49,2022-01-19,0.0001662937985595,135621.07261878453,147681.85275874767,123142.86768324125,815550993.4438306,852758744.1620626,783793738.4898711,0.0001662937985595,93.0,2492.0,Davis,0.037319422150882825,93.0
50,2022-01-20,0.0001195722494535,166023.81457856094,172675.81753891337,159372.6070132159,1388481151.248165,1406697124.9339209,1369509453.157122,0.0001195722494535,79.0,3033.0,Davis,0.0260468183316848,79.0
51,2022-01-21,0.0001708964703338,106472.6825252243,111963.86226089568,100982.0387858803,623024468.0726817,645285932.8288479,599743196.176665,0.0001708964703338,43.0,1849.0,Davis,0.023255813953488372,43.0
52,2022-01-22,0.0001737392146276,85049.025217692,92992.28191375734,77167.29640960667,489521179.1992187,515879618.3268226,464034423.8281254,0.0001737392146276,67.0,2983.0,Davis,0.022460610124036204,67.0
53,2022-01-23,0.0002679461453332,147738.68609078348,160180.18440858193,134991.68202846852,551374552.923919,589587659.8760546,523026066.3897682,0.0002679461453332,36.0,916.0,Davis,0.039301310043668124,36.0
54,2022-01-24,0.0001500424816822,124093.08603174605,138036.06184126987,109841.26984126984,827053009.5238097,887768457.7777777,773208860.3174603,0.0001500424816822,24.0,885.0,Davis,0.02711864406779661,24.0
55,2022-01-25,0.0001555256548353,131765.02239528025,151594.4489439528,108888.51917404128,847223710.6784661,908286737.9351032,790240496.519174,0.0001555256548353,64.0,1916.0,Davis,0.033402922755741124,64.0
56,2022-01-26,0.0002447332810543,244832.0484848485,257272.72032323235,230981.67264646463,1000403571.717172,1027766618.989899,969120341.818182,0.0002447332810543,36.0,2469.0,Davis,0.014580801944106925,36.0
57,2022-01-27,0.0001863091231142,155263.57873693717,164154.4325527176,146373.69923777386,833365409.8180432,849256427.979574,815637682.6298735,0.0001863091231142,51.0,2571.0,Davis,0.019836639439906652,51.0
58,2022-01-28,9.055382314228888e-05,123890.2656636464,130180.1846996291,117601.0317635502,1368139536.9577646,1398400042.8082218,1338433605.6411717,9.055382314228888e-05,21.0,1885.0,Davis,0.011140583554376658,21.0
